 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
0101100000000000000000000000000000100000    2    4   -44.25021      0.00204  Y     15
1000001100000100000000000000000000000000    3    2   -44.24204      0.00204  Y     12
0010011000000000000100000000000000000000    3    4   -44.17237      0.00203  Y      1
0110000000000000000000000000011000000000    2    4    43.67813      0.00201  Y     45
0000010000101100000000000000000000000000    4    2    43.51492      0.00200  Y     37
0000110010000000000000010000000000000000    4    2    43.45936      0.00200  Y     21
1000010000000000000100000000000000001000    3    4    43.45391      0.00200  Y     21
1000000100000010010000000000000000000000    3    4   -43.16974      0.00199  Y     26
0000011000000000000001000010000000000000    4    4   -42.69863      0.00197  Y      0
0000010001001010000000000000000000000000    4    4   -42.65946      0.00196  Y     13
0000010011100000000000000000000000000000    4    2    42.30516      0.00195  Y     30
0000011001000000001000000000000000000000    4    4   -42.27585      0.00195  Y      6
0100100000000100000000001000000000000000    3    4    42.25798      0.00195  Y     45
0000010000100000110000000000000000000000    4    2    42.15467      0.00194  Y     29
1100000000010000000000000000000000001000    2    2    42.07675      0.00194  Y     30
1001000000000000000000000000100100000000    2    4    41.98720      0.00193  Y     15
0110000000000001000000000000000000001000    2    4    41.82811      0.00193  Y     54
1100000001000000000000000000000010000000    2    2    41.62234      0.00192  Y     59
0100000100000010100000000000000000000000    3    4    41.53372      0.00191  Y     14
0000011000000000000100100000000000000000    4    4   -41.34755      0.00190  Y     24
0000100000011100000000000000000000000000    4    2   -41.25125      0.00190  Y     45
0101000000000000100000000000000010000000    2    4    41.16238      0.00189  Y     38
0001001000000000010000001000000000000000    3    4    40.95440      0.00189  Y     23
1000001000000001010000000000000000000000    3    4    40.93080      0.00188  Y     24
0110000000001000000000000000000001000000    2    4    40.83089      0.00188  Y      6
0011010000000000000000001000000000000000    2    2   -40.65910      0.00187  Y     18
0001001000000000000001000000100000000000    3    4    40.49909      0.00186  Y     36
0010010000000010000100000000000000000000    3    4    40.39761      0.00186  Y     25
0000110000000010000000000000000000000001    4    2    40.38220      0.00186  Y     53
0011000000010000000000001000000000000000    2    2    39.89531      0.00184  Y     13
1100000000000000001100000000000000000000    2    0   -39.83556      0.00183  Y     36
0000100100000000000010000001000000000000    4    4   -39.76355      0.00183  Y      4
1100000000000000000000000000000000110000    2    0   -39.49211      0.00182  Y     58
0001001000000000000010000000010000000000    3    4   -39.34596      0.00181  Y      0
0000100010000101000000000000000000000000    4    4   -38.59626      0.00178  Y     54
0100001000000001100000000000000000000000    3    4   -38.41489      0.00177  Y     36
0000110000010000000000001000000000000000    4    2   -38.41431      0.00177  Y     29
0000110000000001000000000000000000000010    4    2   -38.32166      0.00176  Y      3
0100000011001000000000000000000000000000    3    2    38.09971      0.00175  Y     45
0110000000100000000000000000000000000001    2    4   -38.01808      0.00175  Y     14
0000100100000000000001000010000000000000    4    4    37.41280      0.00172  Y     40
0010000100100100000000000000000000000000    3    4   -37.40921      0.00172  Y      5
0000011000010010000000000000000000000000    4    4   -37.29615      0.00172  Y     31
0000011000000000001000010000000000000000    4    4    37.22329      0.00171  Y     45
0000100100000000100000000000000001000000    4    4   -37.18692      0.00171  Y     51
0000011100000000000000000000000000001000    4    2    37.07490      0.00171  Y     57
1000010000011000000000000000000000000000    3    4   -37.03808      0.00170  Y     36
0010000100000000010000001000000000000000    3    4   -36.22606      0.00167  Y     25
0000100100001000000000010000000000000000    4    4    35.99403      0.00166  Y     39
1000010000000000000000000001001000000000    3    4    35.91799      0.00165  Y     26
0001000010000011000000000000000000000000    3    2   -35.91330      0.00165  Y     41
1001000000000000000000000000000000001001    2    4    35.67255      0.00164  Y     55
0000011000000000000010000001000000000000    4    4    35.62702      0.00164  Y     36
1010000000000100000000010000000000000000    2    4   -35.40942      0.00163  Y     21
0010000100000000000001000000100000000000    3    4   -35.38587      0.00163  Y     12
0010000100100000010000000000000000000000    3    4    35.27229      0.00162  Y     33
0100100000000000000001000000100000000000    3    4   -35.24755      0.00162  Y     43
1001000000000001000000000000000000001000    2    4   -35.21356      0.00162  Y      6
0011000000000100100000000000000000000000    2    2   -34.98114      0.00161  Y     56
0000110000000000000000000000000000110000    4    0    34.96762      0.00161  Y     53
1000011000000000000000010000000000000000    3    4   -34.89114      0.00161  Y     16
0010000001001100000000000000000000000000    3    2    34.76521      0.00160  Y     53
