nodes' data
i      configuration       h_ii      ci
2  99    0   1000.0
3  4    -0.1111921968501372   8.993436844743535
3  5    -0.07584411414358808   13.184938756180868
3  6    -0.03667114367877384   27.269397670267498
3  7    0   1000.0
3  8    0.006821066237352277   146.60464584319422
3  9    0.0833277482552379   12.000804305151028
3  10    0.006821066237352277   146.60464584319422
3  11    0   1000.0
3  12    0.07650668201788562   13.07075373842799
3  13    0.05775028452930392   17.31593200190339
3  14    -0.08974845820587435   11.142252691473496
3  15    -0.07429389378669506   13.460056392670662
3  16    -0.0180483958360782   55.406586218650524
3  17    0   1000.0
3  18    0   1000.0
3  19    0.03511993007993483   28.473860788559282
3  20    0.06557117621740727   15.250603354809558
3  21    0   1000.0
3  22    0   1000.0
3  23    -0.05007635163768832   19.96950591039829
3  24    0.0019253477567620844   519.3866907876062
3  25    0   1000.0
3  26    -0.02203009601970455   45.39244854428062
3  27    0   1000.0
3  28    0   1000.0
3  29    -0.05119792850707074   19.532040243813654
3  30    0.0011215768693824263   891.601839605189
3  31    0   1000.0
3  32    0.0445439010582071   22.44976250942333
3  33    0   1000.0
3  34    0   1000.0
3  35    0.04685839642897167   21.34089248051431
3  36    0   1000.0
3  37    0   1000.0
3  38    -0.00797851246732718   125.33664691195278
3  39    0.04667300428081358   21.425661694785777
3  40    0   1000.0
3  41    0.03859649143553592   25.909090769823095
3  42    0   1000.0
3  43    0   1000.0
3  44    0   1000.0
3  45    0.04473561753686079   22.353553053694416
3  46    -0.03349218075207478   29.857715369521042
3  47    0   1000.0
3  48    0   1000.0
3  49    0   1000.0
3  50    0   1000.0
3  51    0   1000.0
3  52    -0.04618428445846511   21.6523869910625
3  53    0   1000.0
3  54    0   1000.0
3  55    0.02091034310427037   47.82322293868899
3  56    0   1000.0
3  57    0   1000.0
3  58    0   1000.0
3  59    0.021436121853372708   46.6502293110758
3  60    0   1000.0
3  61    -0.017942647155813   55.73313632687824
3  62    0   1000.0
3  63    -0.01835341134614013   54.48578365843187
3  64    0   1000.0
3  65    0   1000.0
3  66    0   1000.0
3  67    0.04324643473788823   23.12329342432243
3  68    0   1000.0
3  69    0   1000.0
3  70    0   1000.0
3  71    0.02489388334927423   40.17051040086739
3  72    0   1000.0
3  73    0.009378414097907978   106.62783596035365
